Date; Close 
13.10.2009; 294,32 
14.10.2009; 299,20 
15.10.2009; 300,22 
16.10.2009; 295,72 
19.10.2009; 298,52 
20.10.2009; 295,13 
21.10.2009; 290,35 
22.10.2009; 296,08 
23.10.2009; 290,12 
26.10.2009; 283,93 
27.10.2009; 279,46 
28.10.2009; 275,09 
29.10.2009; 280,75 
30.10.2009; 270,97 
02.11.2009; 271,36 
03.11.2009; 276,87 
04.11.2009; 275,92 
05.11.2009; 281,63 
06.11.2009; 281,43 
09.11.2009; 288,11 
10.11.2009; 286,05 
11.11.2009; 290,60 
12.11.2009; 289,80 
13.11.2009; 292,75 
16.11.2009; 295,90 
17.11.2009; 298,62 
18.11.2009; 296,31 
19.11.2009; 291,17 
20.11.2009; 290,52 
23.11.2009; 294,07 
24.11.2009; 291,86 
25.11.2009; 293,62 
27.11.2009; 288,45 
30.11.2009; 287,94 
01.12.2009; 293,10 
02.12.2009; 294,92 
03.12.2009; 293,12 
04.12.2009; 297,73 
07.12.2009; 297,73 
08.12.2009; 297,73 
09.12.2009; 297,73 
10.12.2009; 297,73 
11.12.2009; 297,73 
14.12.2009; 297,73 
15.12.2009; 297,73 
16.12.2009; 297,73 
17.12.2009; 297,73 
18.12.2009; 297,73 
21.12.2009; 297,73 
22.12.2009; 297,73 
23.12.2009; 297,73 
24.12.2009; 297,73 
28.12.2009; 297,73 
29.12.2009; 311,77 
30.12.2009; 311,76 
31.12.2009; 309,20 
04.01.2010; 317,55 
05.01.2010; 320,23 
06.01.2010; 317,53 
07.01.2010; 319,18 
08.01.2010; 318,81 
11.01.2010; 318,26 
12.01.2010; 311,09 
13.01.2010; 314,27 
14.01.2010; 313,68 
15.01.2010; 310,64 
19.01.2010; 313,50 
20.01.2010; 308,20 
21.01.2010; 306,77 
22.01.2010; 297,67 
25.01.2010; 298,69 
26.01.2010; 297,15 
27.01.2010; 296,74 
28.01.2010; 289,37 
29.01.2010; 284,53 
01.02.2010; 289,50 
02.02.2010; 292,31 
03.02.2010; 291,79 
04.02.2010; 281,07 
05.02.2010; 280,78 
08.02.2010; 281,66 
09.02.2010; 284,39 
10.02.2010; 283,25 
11.02.2010; 288,83 
12.02.2010; 291,84 
16.02.2010; 296,37 
17.02.2010; 297,03 
18.02.2010; 300,04 
19.02.2010; 302,93 
22.02.2010; 302,13 
23.02.2010; 293,89 
24.02.2010; 295,89 
25.02.2010; 294,58 
26.02.2010; 295,31 
01.03.2010; 299,21 
02.03.2010; 302,22 
03.03.2010; 304,80 
04.03.2010; 304,10 
05.03.2010; 306,60 
08.03.2010; 309,06 
09.03.2010; 312,69 
10.03.2010; 313,49 
11.03.2010; 315,78 
12.03.2010; 313,94 
15.03.2010; 313,44 
16.03.2010; 316,20 
17.03.2010; 319,89 
18.03.2010; 319,89 
19.03.2010; 314,35 
22.03.2010; 317,25 
23.03.2010; 320,69 
24.03.2010; 317,24 
25.03.2010; 313,39 
26.03.2010; 314,39 
29.03.2010; 315,85 
30.03.2010; 316,58 
31.03.2010; 315,89 
01.04.2010; 318,70 
05.04.2010; 323,56 
06.04.2010; 324,09 
07.04.2010; 321,63 
08.04.2010; 322,60 
09.04.2010; 325,12 
12.04.2010; 326,12 
13.04.2010; 325,59 
14.04.2010; 331,15 
15.04.2010; 330,21 
16.04.2010; 325,02 
19.04.2010; 324,30 
20.04.2010; 327,66 
21.04.2010; 326,17 
22.04.2010; 327,57 
23.04.2010; 327,94 
26.04.2010; 326,47 
27.04.2010; 321,17 
28.04.2010; 323,73 
29.04.2010; 331,28 
30.04.2010; 325,64 
03.05.2010; 331,15 
04.05.2010; 320,25 
05.05.2010; 317,54 
06.05.2010; 305,44 
07.05.2010; 294,65 
10.05.2010; 308,73 
11.05.2010; 310,95 
12.05.2010; 319,95 
13.05.2010; 317,59 
14.05.2010; 311,66 
17.05.2010; 314,39 
18.05.2010; 309,99 
19.05.2010; 308,16 
20.05.2010; 294,91 
21.05.2010; 300,01 
24.05.2010; 298,99 
25.05.2010; 300,17 
26.05.2010; 298,70 
27.05.2010; 311,45 
28.05.2010; 307,49 
01.06.2010; 295,89 
02.06.2010; 303,63 
03.06.2010; 306,68 
04.06.2010; 294,46 
07.06.2010; 288,17 
08.06.2010; 287,12 
09.06.2010; 287,35 
10.06.2010; 295,09 
11.06.2010; 299,94 
14.06.2010; 299,97 
15.06.2010; 306,89 
16.06.2010; 306,37 
17.06.2010; 305,67 
18.06.2010; 305,20 
21.06.2010; 304,28 
22.06.2010; 300,04 
23.06.2010; 302,21 
24.06.2010; 295,24 
25.06.2010; 296,01 
28.06.2010; 298,76 
29.06.2010; 287,46 
30.06.2010; 283,12 
01.07.2010; 282,02 
02.07.2010; 281,31 
06.07.2010; 282,61 
07.07.2010; 293,30 
08.07.2010; 296,35 
09.07.2010; 297,08 
12.07.2010; 296,95 
13.07.2010; 304,23 
14.07.2010; 307,10 
15.07.2010; 307,11 
16.07.2010; 297,79 
19.07.2010; 301,32 
20.07.2010; 304,89 
21.07.2010; 301,41 
22.07.2010; 311,43 
23.07.2010; 317,50 
26.07.2010; 323,00 
27.07.2010; 317,48 
28.07.2010; 315,91 
29.07.2010; 313,19 
30.07.2010; 312,45 
02.08.2010; 318,79 
03.08.2010; 317,08 
04.08.2010; 320,86 
05.08.2010; 320,98 
06.08.2010; 318,70 
09.08.2010; 321,61 
10.08.2010; 318,36 
11.08.2010; 308,28 
12.08.2010; 303,63 
13.08.2010; 302,13 
16.08.2010; 304,24 
17.08.2010; 309,87 
18.08.2010; 311,39 
19.08.2010; 306,33 
20.08.2010; 307,75 
23.08.2010; 304,07 
24.08.2010; 301,55 
25.08.2010; 303,78 
26.08.2010; 302,54 
27.08.2010; 308,59 
30.08.2010; 304,39 
31.08.2010; 304,62 
01.09.2010; 312,45 
02.09.2010; 316,02 
03.09.2010; 320,82 
07.09.2010; 318,01 
08.09.2010; 321,42 
09.09.2010; 322,58 
10.09.2010; 322,44 
13.09.2010; 329,39 
14.09.2010; 326,40 
15.09.2010; 329,67 
16.09.2010; 328,25 
17.09.2010; 330,81 
20.09.2010; 337,17 
21.09.2010; 335,98 
